wl	GaAs
734.589	368.362
734.801	370.254
735.013	361.303
735.225	370.11
735.437	368.978
735.649	368.549
735.861	362.751
736.072	365.578
736.284	360.919
736.496	367.208
736.708	371.431
736.92	370.479
737.132	366.822
737.344	367.454
737.556	365.044
737.768	368.736
737.979	368.998
738.191	367.503
738.403	375.832
738.615	364.79
738.827	363.871
739.039	359.911
739.251	370.273
739.463	365.684
739.674	365.991
739.886	373.903
740.098	364.58
740.31	362.05
740.522	366.562
740.734	369.486
740.946	365.595
741.157	371.218
741.369	364.605
741.581	374.997
741.793	367.181
742.005	367.889
742.217	369.36
742.428	368.228
742.64	374.456
742.852	373.685
743.064	371.211
743.276	372.568
743.487	375.491
743.699	369.92
743.911	373.117
744.123	371.232
744.335	371.559
744.546	373.565
744.758	374.798
744.97	371.623
745.182	374.888
745.393	370.119
745.605	375.824
745.817	373.434
746.029	374.368
746.24	370.694
746.452	379.387
746.664	372.853
746.876	379.235
747.088	375.015
747.299	374.436
747.511	367.51
747.723	369.37
747.934	366.758
748.146	376.141
748.358	373.212
748.57	377.397
748.781	371.209
748.993	373.44
749.205	379.876
749.416	380.988
749.628	371.949
749.84	376.837
750.052	377.376
750.263	377.516
750.475	372.429
750.687	377.143
750.898	373.199
751.11	377.021
751.322	373.071
751.533	377.414
751.745	374.712
751.957	387.909
752.168	375.481
752.38	377.324
752.592	381.261
752.803	382.71
753.015	377.53
753.227	375.903
753.438	375.828
753.65	381.973
753.861	374.283
754.073	383.54
754.285	379.234
754.496	384.172
754.708	382.827
754.92	383.686
755.131	382.674
755.343	383.172
755.554	380.136
755.766	381.018
755.978	386.242
756.189	388.764
756.401	391.68
756.612	393.125
756.824	388.95
757.036	380.474
757.247	389.472
757.459	378.156
757.67	390.464
757.882	388.242
758.093	383.894
758.305	389.179
758.516	380.991
758.728	378.667
758.94	385.646
759.151	382.668
759.363	397.206
759.574	382.035
759.786	387.53
759.997	387.538
760.209	387.815
760.42	390.959
760.632	394.021
760.843	388.144
761.055	387.064
761.266	396.83
761.478	379.774
761.689	404.697
761.901	393.112
762.112	397.442
762.324	382.376
762.535	397.087
762.747	396.148
762.958	399.374
763.006	396.081
763.218	395.752
763.43	404.685
763.642	403.938
763.854	392.384
764.066	401.155
764.278	395.457
764.49	394.6
764.702	401.412
764.914	398.418
765.126	406.337
765.337	392.001
765.549	406.222
765.761	398.138
765.973	400.855
766.185	404.352
766.397	396.836
766.609	402.78
766.821	402.108
767.033	404.724
767.245	406.037
767.456	409.947
767.668	413.14
767.88	417.959
768.092	399.712
768.304	410.236
768.516	404.299
768.728	411.631
768.939	412.316
769.151	415.539
769.363	411.819
769.575	414.995
769.787	406.091
769.999	414.441
770.21	418.886
770.422	423.089
770.634	414.96
770.846	418.348
771.058	415.806
771.27	420.637
771.481	422.274
771.693	420.541
771.905	423.983
772.117	422.434
772.329	430.078
772.54	419.447
772.752	422.66
772.964	423.599
773.176	428.617
773.388	437.44
773.599	423.825
773.811	430.548
774.023	426.006
774.235	425.552
774.446	434.105
774.658	434.767
774.87	441.416
775.082	441.262
775.293	438.366
775.505	442.97
775.717	441.369
775.929	437.236
776.141	447.837
776.352	445.27
776.564	446.581
776.776	450.419
776.987	449.108
777.199	442.438
777.411	448.276
777.623	451.271
777.834	459.604
778.046	455.786
778.258	457.8
778.469	455.068
778.681	456.61
778.893	455.187
779.105	458.486
779.316	459.232
779.528	457.965
779.74	453.361
779.951	466.236
780.163	466.522
780.375	465.221
780.586	470.987
780.798	472.132
781.01	472.057
781.221	471.855
781.433	477.725
781.645	473.653
781.856	476.91
782.068	474.445
782.28	485.787
782.491	485.387
782.703	477.356
782.915	484.524
783.126	501.427
783.338	493.538
783.55	498.771
783.761	500.007
783.973	496.794
784.184	500.501
784.396	510.922
784.608	506.459
784.819	503.325
785.031	521.598
785.243	511.011
785.454	514.706
785.666	515.238
785.877	518.587
786.089	517.27
786.301	515.191
786.512	533.236
786.724	527.813
786.935	532.058
787.147	538.417
787.358	531.457
787.57	531.947
787.781	547.282
787.993	537.391
788.205	540.823
788.416	550.999
788.628	549.506
788.839	552.304
789.051	547.009
789.262	552.609
789.474	553.89
789.686	565.181
789.897	561.997
790.109	560.714
790.32	566.736
790.532	581.596
790.743	572.893
790.955	573.772
791.166	580.638
791.378	580.75
791.589	589.154
791.801	591.442
792.012	597.145
792.224	596.683
792.435	595.063
792.647	597.049
792.858	595.309
793.07	598.823
793.281	612.9
793.493	618.848
793.704	619.738
793.916	618.477
794.127	622.276
794.338	625.492
794.55	628.173
794.761	632.56
794.973	633.734
795.184	648.242
795.396	649.406
795.607	648.07
795.819	659.45
796.03	668.242
796.241	673.186
796.453	668.373
796.664	679.196
796.876	683.016
797.087	681.784
797.299	681.439
797.51	697.06
797.721	689.453
797.933	697.25
798.144	710.394
798.356	702.626
798.567	715.01
798.778	716.602
798.99	719.645
799.201	720.11
799.413	725.277
799.624	733.198
799.835	728.217
800.047	738.103
800.258	734.193
800.469	762.757
800.681	750.304
800.892	777.912
801.103	763.696
801.315	778.182
801.526	783.578
801.737	778.763
801.949	794.262
802.16	797.341
802.371	813.244
802.583	822.417
802.794	825.922
803.005	824.027
803.217	833.232
803.428	843.012
803.639	846.97
803.851	844.065
804.062	868.76
804.273	872.348
804.485	875.131
804.696	877.584
804.907	896.14
805.119	868.813
805.33	893.712
805.541	915.157
805.752	903.31
805.964	928.341
806.175	931.559
806.386	945.002
806.597	940.193
806.809	942.264
807.02	956.103
807.231	953.105
807.442	972.6
807.654	998.254
807.865	987.977
808.076	995.226
808.287	983.937
808.499	1017.87
808.71	1028.38
808.921	1030.64
809.132	1013.67
809.343	1055.56
809.555	1077.53
809.766	1048.23
809.977	1105.2
810.188	1099.06
810.399	1109
810.611	1100.17
810.822	1102.98
811.033	1140.61
811.244	1136.8
811.455	1146.28
811.667	1173.15
811.878	1174.84
812.089	1201.7
812.3	1186.99
812.511	1203.68
812.722	1208.75
812.934	1209
813.145	1225.05
813.356	1248.6
813.567	1261.93
813.778	1285.7
813.989	1259.8
814.2	1309.11
814.411	1302.3
814.623	1323.31
814.834	1313.45
815.045	1333.43
815.256	1363.07
815.467	1364.03
815.678	1375.29
815.889	1381.51
816.1	1387.01
816.312	1401.44
816.523	1421.6
816.734	1401.88
816.945	1427.05
817.156	1448.13
817.158	1456.3
817.369	1491.44
817.581	1498.54
817.792	1512.42
818.004	1527.2
818.215	1543.33
818.427	1576.46
818.639	1569.57
818.85	1581.19
819.062	1607.85
819.273	1612.5
819.485	1625.2
819.696	1684.52
819.908	1638.96
820.119	1682.18
820.331	1726.04
820.542	1727.77
820.754	1754.09
820.965	1764.46
821.177	1768.29
821.388	1792.89
821.6	1821.99
821.811	1837.23
822.023	1876.52
822.234	1856.75
822.445	1884.76
822.657	1913.72
822.868	1926.96
823.08	1942.23
823.291	1977.93
823.503	2008.08
823.714	2023.45
823.926	2015.16
824.137	2070.45
824.349	2088.81
824.56	2118.25
824.771	2098.04
824.983	2120.96
825.194	2156.04
825.406	2158.28
825.617	2185.22
825.829	2234.95
826.04	2252.07
826.251	2257.16
826.463	2281.88
826.674	2291.29
826.886	2320.28
827.097	2328.4
827.308	2343.97
827.52	2403.39
827.731	2430.69
827.943	2452.81
828.154	2458.62
828.365	2480.74
828.577	2505.76
828.788	2561.15
829	2560.36
829.211	2587.13
829.422	2615.67
829.634	2647.94
829.845	2674.77
830.056	2706.7
830.268	2730.03
830.479	2769.27
830.69	2818.62
830.902	2830.76
831.113	2901.18
831.324	2908.65
831.536	2956.13
831.747	3005.13
831.958	3049.52
832.17	3076.19
832.381	3104.42
832.592	3127.27
832.804	3184.95
833.015	3233.64
833.226	3292.55
833.438	3342.2
833.649	3364.76
833.86	3407.28
834.071	3460.43
834.283	3471.02
834.494	3487.65
834.705	3607.57
834.917	3642.51
835.128	3677.97
835.339	3710.88
835.55	3776.69
835.762	3822.84
835.973	3833.85
836.184	3900.24
836.395	3896.02
836.607	3977.36
836.818	3990.88
837.029	4060.11
837.24	4112.46
837.452	4122.29
837.663	4219.65
837.874	4236.23
838.085	4256.11
838.297	4293.8
838.508	4376.44
838.719	4413.56
838.93	4450.37
839.141	4526.89
839.353	4555.68
839.564	4597.27
839.775	4624.64
839.986	4700.01
840.197	4760.95
840.409	4817.71
840.62	4858.94
840.831	4934.85
841.042	4970.18
841.253	5075.97
841.465	5126.51
841.676	5162.51
841.887	5260.65
842.098	5336.35
842.309	5373.29
842.52	5450.44
842.732	5529.02
842.943	5577.09
843.154	5646.24
843.365	5756.47
843.576	5807.87
843.787	5904.51
843.998	5959.55
844.209	6011.71
844.421	6099.17
844.632	6125.46
844.843	6267.05
845.054	6323.91
845.265	6340.73
845.476	6440.14
845.687	6501.25
845.898	6610.1
846.109	6673.51
846.321	6740.77
846.532	6783.9
846.743	6876.92
846.954	6950.44
847.165	7023.86
847.376	7101.61
847.587	7183.98
847.798	7209.37
848.009	7302.18
848.22	7429.29
848.431	7472.3
848.642	7568.14
848.853	7658.89
849.064	7711.32
849.276	7745.78
849.487	7812.2
849.698	7917.39
849.909	7990.23
850.12	8088.92
850.331	8164.19
850.542	8252.66
850.753	8400.21
850.964	8425.33
851.175	8563.75
851.386	8680.33
851.597	8815.39
851.808	8876.62
852.019	8972.5
852.23	9080.43
852.441	9211
852.652	9330.77
852.863	9458.51
853.074	9570.35
853.285	9736.85
853.496	9869.84
853.707	9958.85
853.918	10078.7
854.129	10115
854.34	10325
854.551	10501.7
854.761	10661.5
854.972	10682.6
855.183	10824.4
855.394	11003.4
855.605	11118.4
855.816	11284.5
856.027	11342.9
856.238	11519.5
856.449	11689
856.66	11730.4
856.871	11897
857.082	12024.4
857.293	12120.6
857.504	12303
857.714	12413.4
857.925	12591.4
858.136	12661.5
858.347	12868.6
858.558	12904.2
858.769	13035.3
858.98	13151.6
859.191	13395.3
859.401	13497.9
859.612	13633.1
859.823	13792.4
860.034	13823.2
860.245	14020.7
860.456	14160.9
860.667	14306.2
860.878	14555
861.088	14685.5
861.299	14749.6
861.51	14958.7
861.721	15168.6
861.932	15251.6
862.143	15486
862.353	15641
862.564	15900.2
862.775	16010.3
862.986	16107
863.197	16470.8
863.407	16530.3
863.618	16760.1
863.829	16857.9
864.04	17101.6
864.251	17328
864.461	17529
864.672	17768.6
864.883	17846.2
865.094	18163.7
865.304	18318.1
865.515	18527.7
865.726	18623.1
865.937	18860.7
866.148	19043.8
866.358	19160
866.569	19358.6
866.78	19509.6
866.99	19510
867.201	19706
867.412	19703.2
867.623	19735.8
867.833	19958.6
868.044	20112.8
868.255	20141.1
868.466	20282.3
868.676	20200.6
868.887	20420.2
869.098	20448.6
869.308	20495.1
869.519	20402.7
869.73	20476.7
869.94	20504.6
870.151	20470.6
870.362	20428.1
870.573	20405.9
870.783	20371
870.994	20261.4
871.204	20168.4
871.249	20091.1
871.46	19800.5
871.671	19795.4
871.882	19669.7
872.093	19583.5
872.304	19288.8
872.515	19295.2
872.727	19084.4
872.938	18933.7
873.149	18676.6
873.36	18587.6
873.571	18332.4
873.782	18120.6
873.993	17953.3
874.204	17760.1
874.415	17635.2
