wl	GaAs
1006.21	576.496
1006.42	570.038
1006.63	561.341
1006.84	567.023
1007.05	558.975
1007.26	560.164
1007.47	550.897
1007.68	562.979
1007.89	556.937
1008.1	556.081
1008.3	550.273
1008.51	545.375
1008.72	551.696
1008.93	551.067
1009.14	545.38
1009.35	549.354
1009.56	556.497
1009.77	545.59
1009.98	549.769
1010.19	550.403
1010.4	540.886
1010.61	548.869
1010.82	534.21
1011.03	534.972
1011.24	539.717
1011.45	538.026
1011.66	531.019
1011.87	534.625
1012.08	538.771
1012.29	533.313
1012.5	530.788
1012.71	538.98
1012.92	527.604
1013.13	520.228
1013.34	516.687
1013.55	516.62
1013.76	522.262
1013.97	521.072
1014.18	517.366
1014.39	520.045
1014.6	520.062
1014.81	528.119
1015.02	523.611
1015.23	525.542
1015.44	520.593
1015.65	518.951
1015.86	509.664
1016.06	513.486
1016.27	515.143
1016.48	512.258
1016.69	512.64
1016.9	507.33
1017.11	501.775
1017.32	505.909
1017.53	503.055
1017.74	505.854
1017.95	490.905
1018.16	498.666
1018.37	504.648
1018.58	485.374
1018.79	492.385
1019	499.072
1019.21	498.9
1019.42	490.136
1019.63	483.265
1019.84	491.719
1020.05	490.584
1020.26	487.502
1020.47	487.325
1020.68	492.193
1020.89	485.271
1021.1	480.671
1021.3	474.306
1021.51	486.788
1021.72	486.047
1021.93	473.421
1022.14	483.44
1022.35	467.688
1022.56	479.874
1022.77	480.512
1022.98	475.526
1023.19	471.288
1023.4	477.464
1023.61	481.351
1023.82	471.351
1024.03	470.398
1024.24	458.43
1024.45	478.182
1024.66	479.333
1024.87	469.354
1025.08	470.636
1025.29	467.385
1025.49	465.937
1025.7	455.196
1025.91	457.174
1026.12	454.708
1026.33	455.212
1026.54	472.26
1026.75	452.055
1026.96	457.764
1027.17	453.436
1027.38	471.841
1027.59	455.262
1027.8	459.566
1028.01	453.505
1028.22	452.467
1028.43	463.578
1028.64	463.597
1028.85	444.897
1029.06	452.562
1029.26	443.949
1029.47	448.306
1029.68	452.847
1029.89	443.945
1030.1	453.495
1030.31	448.012
1030.52	440.586
1030.73	452.115
1030.94	443.964
1031.15	447.648
1031.36	444.179
1031.57	440.571
1031.78	446.566
1031.99	441.534
1032.2	423.443
1032.41	432.698
1032.61	446.353
1032.79	437.229
1033	443.937
1033.21	437.466
1033.42	445.7
1033.63	430.122
1033.84	434.854
1034.05	429.224
1034.26	434.121
1034.46	439.13
1034.67	432.201
1034.88	432.717
1035.09	439.754
1035.3	427.918
1035.51	437.66
1035.72	441.99
1035.93	426.265
1036.14	418.796
1036.35	436.919
1036.56	428.659
1036.77	429.079
1036.98	424.676
1037.19	427.678
1037.4	417.824
1037.61	425.37
1037.82	425.282
1038.03	423.876
1038.24	419.809
1038.45	427.171
1038.66	417.922
1038.87	420.881
1039.08	423.892
1039.29	420.158
1039.5	421.162
1039.71	422.808
1039.92	418.095
1040.13	412.608
1040.34	418.07
1040.55	417.996
1040.76	414.414
1040.97	411.719
1041.18	415.686
1041.39	410.474
1041.6	418.083
1041.81	409.94
1042.02	415.033
1042.23	406.978
1042.44	413.017
1042.65	413.243
1042.86	407.519
1043.06	407.443
1043.27	413.729
1043.48	413.406
1043.69	409.05
1043.9	404.695
1044.11	404.544
1044.32	408.798
1044.53	411.95
1044.74	400.722
1044.95	405.752
1045.16	408.023
1045.37	402.063
1045.58	405.458
1045.79	413.347
1046	412.524
1046.21	404.966
1046.42	405.577
1046.63	400.51
1046.84	406.024
1047.05	410.978
1047.26	406.993
1047.47	399.03
1047.68	408.716
1047.89	399.445
1048.1	409.602
1048.31	402.069
1048.52	403.901
1048.73	405.583
1048.93	399.615
1049.14	404.677
1049.35	404.876
1049.56	401.003
1049.77	404.176
1049.98	403.805
